"time","T_in_c"
7.16,153.2878850303603
7.18,153.2925954272658
7.2,153.2973006785238
7.22,153.3020007901804
7.24,153.3066957682478
7.26,153.3113856187055
7.28,153.3160703475004
7.3,153.3207499605482
7.32,153.3254244637325
7.34,153.3300938629068
7.36,153.3347581638942
7.38,153.3394173724878
7.4,153.3440714944525
7.42,153.3487205355234
7.44,153.3533645014086
7.46,153.3580033917859
7.48,153.3626372171234
7.5,153.3672659832502
7.52,153.3718896956952
7.54,153.3765083599592
7.56,153.381121981515
7.58,153.3857305658084
7.6,153.3903341182584
7.62,153.3949326442574
7.64,153.399526149172
7.66,153.4041146383439
7.68,153.4086981170893
7.7,153.4132765907005
7.72,153.4178500644458
7.74,153.42241854357
7.76,153.426982033295
7.78,153.4315405388203
7.8,153.4360940653236
7.82,153.440642617961
7.84,153.4451862018678
7.86,153.4497248221584
7.88,153.4542584839279
7.9,153.4587871922512
7.92,153.4633109521845
7.94,153.4678297687657
7.96,153.472343647014
7.98,153.4768525919318
8,153.481356608504
8.02,153.4858557016991
8.04,153.4903498764691
8.06,153.4948391377509
8.08,153.4993234904662
8.1,153.5038029208979
8.12,153.5082774473973
8.14,153.5127470769605
8.16,153.51721181425
8.18,153.5216716639077
8.2,153.526126630556
8.22,153.5305767187975
8.24,153.5350219332157
8.26,153.5394622783757
8.28,153.5438977588239
8.3,153.5483283790887
8.32,153.5527541436808
8.34,153.5571750570938
8.36,153.5615911238042
8.38,153.566002348272
8.4,153.5704087349409
8.42,153.5748102882388
8.44,153.5792070125783
8.46,153.5835989123564
8.48,153.587985991956
8.5,153.5923682557452
8.52,153.5967457080779
8.54,153.6011183532949
8.56,153.6054861957234
8.58,153.6098492396775
8.6,153.6142074894589
8.62,153.6185609493571
8.64,153.6229096236499
8.66,153.6272535166033
8.68,153.6315926324724
8.7,153.6359269755017
8.72,153.640256549925
8.74,153.6445813543124
8.76,153.6489013963901
8.78,153.65321668153
8.8,153.657527213866
8.82,153.6618329975205
8.84,153.666134036606
8.86,153.6704303352245
8.88,153.6747218974684
8.9,153.6790087274209
8.92,153.6832908291555
8.94,153.6875682067375
8.96,153.6918408642235
8.98,153.6961088056619
9,153.7003720350937
9.02,153.7046305565518
9.04,153.7088843740626
9.06,153.7131334916454
9.08,153.7173779133128
9.1,153.7216176430719
9.12,153.7258526849236
9.14,153.7300830428632
9.16,153.734308720881
9.18,153.7385297229626
9.2,153.7427460530889
9.22,153.7469577152369
9.24,153.7511647133795
9.26,153.7553670514864
9.28,153.7595647335237
9.3,153.7637577634551
9.32,153.7679461452418
9.34,153.7721298828423
9.36,153.7763089802138
9.38,153.7804834248061
9.4,153.7846532287722
9.42,153.788818401288
9.44,153.7929789461112
9.46,153.7971348669925
9.48,153.8012861676758
9.5,153.8054328518987
9.52,153.8095749233925
9.54,153.8137123858826
9.56,153.8178452430883
9.58,153.8219734987239
9.6,153.826097156498
9.62,153.8302162201142
9.64,153.8343306932716
9.66,153.8384405796642
9.68,153.8425458829819
9.7,153.8466466069106
9.72,153.8507427551317
9.74,153.8548343313237
9.76,153.8589213391608
9.78,153.8630037823148
9.8,153.8670816644538
9.82,153.8711549892435
9.84,153.8752237603472
9.86,153.8792879814255
9.88,153.8833476561371
9.9,153.8874027881389
9.92,153.8914533810861
9.94,153.8954994386326
9.96,153.899540964431
9.98,153.903577962133
10,153.9076104353898
10,153.9076104353898
